List of games visited: 
game id: {'game_id': 2388666677} 
game id: {'game_id': 2388602877} 
game id: {'game_id': 2388592598} 
game id: {'game_id': 2388558031} 
game id: {'game_id': 2388421242} 
game id: {'game_id': 2388347370} 
game id: {'game_id': 2388227341} 
game id: {'game_id': 2387944767} 
game id: {'game_id': 2387878110} 
game id: {'game_id': 2387843764} 
game id: {'game_id': 2387807384} 
game id: {'game_id': 2387803132} 
game id: {'game_id': 2387749680} 
game id: {'game_id': 2387737936} 
game id: {'game_id': 2387733175} 
game id: {'game_id': 2387730011} 
game id: {'game_id': 2387676921} 
game id: {'game_id': 2387683154} 
game id: {'game_id': 2387662274} 
game id: {'game_id': 2387627402} 
game id: {'game_id': 2386145885} 
game id: {'game_id': 2386078220} 
game id: {'game_id': 2386073078} 
game id: {'game_id': 2386009284} 
game id: {'game_id': 2386023036} 
game id: {'game_id': 2386019952} 
game id: {'game_id': 2385956613} 
game id: {'game_id': 2385964276} 
game id: {'game_id': 2385951570} 
game id: {'game_id': 2385546168} 
game id: {'game_id': 2385452497} 
game id: {'game_id': 2385381104} 
game id: {'game_id': 2385304640} 
game id: {'game_id': 2385281197} 
game id: {'game_id': 2385176118} 
game id: {'game_id': 2385172567} 
game id: {'game_id': 2385067553} 
game id: {'game_id': 2385066433} 
game id: {'game_id': 2385052332} 
game id: {'game_id': 2385040673} 
game id: {'game_id': 2384696537} 
game id: {'game_id': 2384700906} 
game id: {'game_id': 2384653843} 
game id: {'game_id': 2384620092} 
game id: {'game_id': 2384590716} 
game id: {'game_id': 2384506836} 
game id: {'game_id': 2384477717} 
game id: {'game_id': 2384413704} 
game id: {'game_id': 2384401163} 
game id: {'game_id': 2384315283} 
game id: {'game_id': 2384293333} 
game id: {'game_id': 2384258709} 
game id: {'game_id': 2384240239} 
game id: {'game_id': 2384195217} 
game id: {'game_id': 2384193509} 
game id: {'game_id': 2383585622} 
game id: {'game_id': 2380256758} 
game id: {'game_id': 2380196332} 
game id: {'game_id': 2380138254} 
game id: {'game_id': 2380081219} 
game id: {'game_id': 2380025748} 
game id: {'game_id': 2380001509} 
